kode,nama_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,status_makanan,kelompok_makanan,meal_type
BP037,Keripik singkong,478,0.9,20.7,72,2,189,101,1.9,0,0,0,0,0,0.24,0,0,0,Olahan,Umbi,Cemilan
BP038,Keripik singkong berbumbu,481,2.2,19.7,73.6,1.6,156,103,1.6,0,0,0,0,0,0.31,0,0,0,Olahan,Umbi,Cemilan
BP039,Keripik ubi,486,0.2,23.9,67.6,14.3,68,92,0.9,52,2,0.7,2.3,0,0.1,0.1,0.5,0,Olahan,Umbi,Cemilan
BP040,Kerupuk cumi goreng,444,6.9,14.6,71.3,5,47,375,1.8,837,191,0.1,0.3,0,0.4,0.1,1.8,0,Olahan,Umbi,Cemilan
BP042,Kerupuk kemplang goreng,504,5.6,28.1,57.1,0.3,50,94,2.9,0,0,0,0,6,0.31,0,0,0,Olahan,Umbi,Cemilan
BP043,Kerupuk kemplang panggang,356,9.7,1.1,76.9,1,62,129,2.9,0,0,0,0,7,0.36,0,0,0,Olahan,Umbi,Cemilan
BP044,Kerupuk mie kuning goreng,476,0.1,21.1,71.3,4.2,57,36,4.6,0,109,0.1,0.2,0,0.22,0,0.9,0,Olahan,Umbi,Cemilan
BP045,Kerupuk udang goreng,477,4.7,20.5,68.5,5,24,188,0.9,449,109,0.1,0.2,0,0.2,0,0.9,0,Olahan,Umbi,Cemilan
BP047,Kue putu singkong,217,1.2,0.5,53.2,2.4,48,68,1.5,3,305,0,0,0,0.1,0.1,0.8,0,Olahan,Umbi,Cemilan
BP048,Lanting getuk,422,0.9,10.8,80.4,1.4,206,104,3.6,0,0,0,0,0,0.43,0,0,0,Olahan,Umbi,Cemilan
BP049,Mi golosor,71,0.2,0.8,15.9,0.1,117,5,0.2,0,0,0,0,0,0.05,0.02,0,0,Olahan,Umbi,Cemilan
BP052,Ongol-ongol sagu,111,0.3,2.7,21.2,0.3,79,15,1.7,0,0,0,0,0,0.06,0,0,0,Olahan,Umbi,Cemilan
BP053,Oyek,351,0.9,0.9,84.9,4.3,60,36,2.1,5,229,0.1,0.5,0,0.02,0.02,0.5,0.2,Olahan,Umbi,Cemilan
BP054,Papeda,61,0.2,0.1,14.9,0.5,3,1,0.2,4,20,0.1,0.1,0,0.06,0,0,0,Olahan,Umbi,Cemilan
BP062,Serimping talas kebumen,478,2.5,21.2,69.2,1.7,112,118,2.3,0,0,0,0,0,0.25,0,0,0,Olahan,Umbi,Cemilan
BP073,Tiwul,353,2.4,1.1,83.4,6.5,55,95,4.7,5,670,0.2,0.8,0,0.02,0.02,0.1,3,Olahan,Umbi,Cemilan
BP074,Tiwul Instan,395,3.2,8.5,76.5,4.2,81,81,5.8,377,469,2.1,1.2,0,0.4,0.2,0.2,4,Olahan,Umbi,Cemilan
BP075,Ubi Cilembu,186,1.9,0.2,44.3,3.4,37,51,0.6,62,61.9,0.1,0.2,0,0.02,0.2,0,0.3,Olahan,Umbi,Cemilan
BP076,Uli batatas,150,1.1,4,27.4,0,0,23,0.1,6,112,0.1,0.2,0,0.53,0,1.3,0,Olahan,Umbi,Cemilan
BR017,Lepok/Ubi rumput,181,2.8,1.2,39.8,10.7,7,50,3.1,116,306,1.6,0.9,0,0.28,0.05,1.5,0,Tunggal,Umbi,Cemilan
BR032,Ubi jalar tinta/ kemayung,108,0.5,0.4,25.6,4.2,30,40,0.5,1,1,0.1,0.2,0,0.09,0.06,0.6,24,Tunggal,Umbi,Cemilan
BP060,Sagu Rendang,364,0.1,0.2,90.5,1.9,13,9,3.9,42,15.1,0.1,0.1,0,0.02,0.6,0.8,0.2,Olahan,Umbi,Cemilan
BP058,Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8,1.1,15,39,1.1,182,52.7,0.04,0.8,0,0.32,0.04,0.1,0.2,Olahan,Umbi,Cemilan
BP026,Gatot,347,1.3,0.7,83.8,5.8,78,44,17.1,28,242,0.2,0.7,0,0.02,0.1,0.4,0.2,Olahan,Umbi,Cemilan
BP046,Kue bangket,338,1.5,1.2,80.3,0,34,35,0.3,67,0,0.2,0.2,0,0.3,0,0,0,Olahan,Umbi,Cemilan
BR021,Sagu lempeng,347,0.9,0.3,85.2,4.7,30,30,0.2,11,0,0.1,0.1,0,0.3,0,0,0,Tunggal,Umbi,Cemilan
CP035,Kacang tanah sari,561,25.5,43.8,26,2.2,50,324,3.1,0,0,0,0,0,0.08,0,0,0,Olahan,Kacang,Cemilan
CP036,Keju kacang tanah (peanut butter),590,27,49,20.9,1.6,60,360,2,355,492.4,0.57,2.7,0,0.3,0.2,16.2,0,Olahan,Kacang,Cemilan
CP032,Kacang goyang,516,14.7,31.1,44.4,0,34,230,0.7,2,365,0.6,1.7,0,0,0,0,0,Olahan,Kacang,Cemilan
AP069,Kue kelapa,591,5.6,42.1,47.5,0,32,180,1.6,33,443,0.5,1.1,0,0,0,0,0,Olahan,Serealia,Cemilan
AP059,Kereput,580,4.8,39.6,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Olahan,Serealia,Cemilan
BP024,Cassavastick,460,0.8,18.7,17.2,1.6,144,58,7.5,0,0,0,0,0,0.19,0.07,0.1,0,Olahan,Umbi,Cemilan
BP001,"Batatas kelapa, ubi, bakar",110,1.4,1.1,23.4,4.5,1,46,0.2,12,230,0.2,0.3,0,1.13,0,0,0,Olahan,Umbi,Cemilan
FP071,"Sop kambing, masakan",34,5.5,0.8,1.1,0,145,37,1.6,348,0,0,0,48,0.57,0,0,0,Olahan,Daging,Makan Malam
FP078,"Soto kudus, masakan",38,2.6,2.3,1.8,0.2,237,67,1.7,0,0,0,0,23,0.06,0,0.5,0,Olahan,Daging,Makan Malam
DR023,"Daun gedi besar, segar",58,2.9,0.7,10,3.3,440,100,1.9,30,40,0.2,2.1,0,0.4,0.5,2.8,11,Tunggal,Sayur,Makan Malam
DR042,"Daun kol sawi, segar",22,2.1,0.5,3.6,0.9,200,92,3.2,19,386.2,0.1,0.2,0,0.03,0.2,0.6,3,Tunggal,Sayur,Makan Malam
DR046,"Daun labu siam, segar",34,4,0.4,4.7,3.5,58,70,2.5,16,630.7,0.2,0.3,0,0.08,0.4,1.7,16,Tunggal,Sayur,Makan Malam
DR047,"Daun labu waluh/kuning, segar",34,3.6,0.6,4.5,2.9,138,99,3.7,16,630.7,0.2,0.3,0,0.14,0.2,1.3,36,Tunggal,Sayur,Makan Malam
DR049,"Daun leilem, segar",76,2.8,0.2,15.8,3.1,296,22,3.4,6,46,0.5,1.1,0,0.3,0.1,2.5,22,Tunggal,Sayur,Makan Malam
DR051,"Daun lobak, segar",30,2.3,0.4,5.8,3.2,140,33,3.7,16,747.4,0.2,0.2,0,0.07,1.1,6.5,109,Tunggal,Sayur,Makan Malam
DR058,"Daun oyong, segar",22,1,0.1,5.3,2,21,44,2,40,295.5,0.1,0.2,0,0.08,0.1,0.8,150,Tunggal,Sayur,Makan Malam
DR062,"Daun paku, segar",29,3.4,0.1,6.5,4.3,13,88,1.3,19,434,0.5,0.7,0,0.2,0.1,11.7,10,Tunggal,Sayur,Makan Malam
DR063,"Daun pangi,segar",104,3.9,0.6,17.9,8.3,256,22,1.8,4,266,1.7,0.5,0,0.4,0.1,0.1,23,Tunggal,Sayur,Makan Malam
DR064,"Daun pare, segar",49,2.7,1,8.4,3,217,70,3.3,7,498,0.4,1.2,0,0.4,0.2,0.6,7,Tunggal,Sayur,Makan Malam
DR065,"Daun pepaya, segar",87,8,2,11.9,1.5,353,63,0.8,4,926.6,0.2,1.5,0,0.15,0.5,1.9,140,Tunggal,Sayur,Makan Malam
BR029,"Ubi jalar manis, segar",83,1.5,0.2,18.8,0.6,27,162,2.1,52,320.7,0.1,0.3,0,0.02,0,0.4,0,Tunggal,Umbi,Makan Malam
BR033,"Umbi Uwi, segar",120,2.8,0.5,82.3,2.6,9,42,1.3,412,412,0.3,0.6,0,0.02,0.5,0.2,4,Tunggal,Umbi,Makan Malam
FP004,"Buaya, daging, dendeng, mentah",365,49.6,4.8,30.8,0,60,130,4.3,500,680,0.2,11.6,0,0,0,0.2,0,Olahan,Daging,Makan Malam
FP006,"Itik alabio, daging, dendeng, mentah",496,30.3,33.5,18.4,0,135,370,12.5,1081,478,0.7,0.3,0,0,0,0,0,Olahan,Daging,Makan Malam
FP008,"Menjangan, daging, dendeng, mentah",322,55.8,2,22.7,0,55,310,2.1,765,1282,1.7,3.2,3391,0,0,0,0,Olahan,Daging,Makan Malam
FP010,"Rusa, daging, dendeng, mentah",536,40.5,41.5,0,0,90,420,13.4,130,690,0.3,10.7,285,0,0,0.2,0,Olahan,Daging,Makan Malam
